Magnitude,amax,Liq,Avg Depth,Depth to GWT,sigvc,sig'vc,Tip,Sleeve,Friction,n,Q,I c,PI,Lab FC,I c est. FC,Repr. FC,C N,qc1N,Iqc1N,"qc1N,cs",rd,CSR,K sigma,MSF,"CSR for M=7.5,sig=1"
7,0.217,1,6.1,1.4,116,70,51.5,0.57,1.13,0.5,60.7,2.11,0,,26,26,1.2,61.9,42.2,104.1,0.93,0.218,1.04,1.05,0.2
6.2,0.455,1,6.1,1.4,116,70,51.5,0.57,1.13,0.5,60.7,2.11,0,,26,26,1.2,61.9,42.2,104.1,0.9,0.444,1.04,1.14,0.372
7,0.21,0,2.8,1,51,34,64.2,0.69,1.09,0.5,109.7,1.9,0,,11,11,1.66,106.4,10.2,116.6,0.98,0.201,1.1,1.06,0.171
6.2,0.447,1,2.8,1,51,34,64.2,0.69,1.09,0.5,109.7,1.9,0,,11,11,1.66,106.4,10.2,116.6,0.97,0.422,1.1,1.18,0.324
7,0.214,0,2.4,2,42,38,47,0.42,0.9,0.5,75.9,1.98,0,,16,16,1.63,76.5,23.8,100.3,0.98,0.152,1.1,1.05,0.132
6.2,0.451,1,2.4,2,42,38,47,0.42,0.9,0.5,75.9,1.98,0,,16,16,1.63,76.5,23.8,100.3,0.97,0.317,1.1,1.13,0.254
7,0.215,0,2.6,2,46,40,41.2,0.37,0.91,0.5,64.7,2.03,0,,18,18,1.6,66.2,28.4,94.5,0.98,0.158,1.09,1.04,0.138
6.2,0.45,1,2.6,2,46,40,41.2,0.37,0.91,0.5,64.7,2.03,0,,18,18,1.6,66.2,28.4,94.5,0.97,0.327,1.09,1.12,0.267
7,0.219,1,1.7,1.4,30,27,23,0.17,0.75,0.5,43.9,2.13,0,,39,39,1.7,39.1,50.7,89.8,0.99,0.157,1.1,1.04,0.137
6.2,0.453,1,1.7,1.4,30,27,23,0.17,0.75,0.5,43.9,2.13,0,,39,39,1.7,39.1,50.7,89.8,0.98,0.322,1.1,1.11,0.264
9,0.17,0,4.8,1.1,89,53,101,0.82,0.8,0.5,138.1,1.75,0,,3,3,1.32,133.5,0,133.5,1.01,0.187,1.09,0.79,0.216
9,0.18,0,4.2,2.5,76,60,66,0.29,0.4,0.5,84.9,1.77,0,,5,5,1.32,87.2,0.1,87.3,1.01,0.15,1.05,0.92,0.156
9,0.21,1,6.8,1.1,127,71,67,0.46,0.7,0.5,78.3,1.9,0,,15,15,1.19,79.7,21.9,101.6,1.01,0.245,1.04,0.89,0.266
9,0.22,1,9,1.3,169,93,95,0.45,0.5,0.5,97.3,1.74,0,,2,2,1.04,99.1,0,99.1,1.01,0.261,1.01,0.89,0.289
9,0.169,0,10.1,1.2,189,102,83,0.48,0.6,0.5,80.7,1.85,0,,11,11,1,82.7,10.2,92.9,1,0.205,1,0.91,0.226
9,0.199,1,2.8,1.2,51,36,34,0.24,0.7,0.5,56.3,2.03,0,,25,25,1.69,57.4,40.6,98,1,0.187,1.1,0.9,0.19
9,0.256,1,6.3,1.6,117,71,20,0.28,1.5,0.5,22.5,2.53,0,,66,66,1.21,24.3,56.9,81.1,1.01,0.276,1.03,0.92,0.289
